Denmark;1965;99954;4.58
Denmark;1960;93989;4.58
Chile;2015;469436;2.62
Chile;2010;369436;2.17
Chile;2005;273384;1.70
Chile;2000;177332;1.17
Chile;1995;142417;1.00
Chile;1990;107501;0.82
Chile;1985;90096;0.82
Chile;1980;81903;0.82
Chile;1975;85985;0.82
Chile;1970;90271;0.82
Chile;1965;97551;0.82
Chile;1960;104805;0.82
Hungary;2015;449632;4.56
Hungary;2010;436616;4.36
Hungary;2005;366787;3.63
Hungary;2000;296957;2.90
Hungary;1995;322234;3.11
Hungary;1990;347510;3.35
Hungary;1985;339023;3.35
Hungary;1980;369039;3.35
Hungary;1975;401713;3.35
Hungary;1970;437279;3.35
Hungary;1965;475994;3.35
Hungary;1960;518137;3.35
Czech;2015;405093;3.84
Czech;2010;397785;3.79
Czech;2005;322540;3.15
Czech;2000;220789;2.15
Czech;1995;165592;1.60
Czech;1990;110394;1.07
Macao;2015;342703;58.32
Macao;2010;318506;59.58
Macao;2005;279308;59.66
Macao;2000;240791;55.75
Macao;1995;224929;56.45
Macao;1990;205047;57.00
Macao;1985;154518;57.00
Macao;1980;119095;57.00
Macao;1975;107761;57.00
Macao;1970;97506;57.00
Macao;1965;88227;57.00
Macao;1960;79831;57.00
Finland;2015;315881;5.74
Finland;2010;248135;4.62
Finland;2005;192169;3.66
Finland;2000;136203;2.63
Finland;1995;99729;1.95
Finland;1990;63255;1.27
Finland;1985;48822;1.27
Finland;1980;38789;1.27
Finland;1975;35352;1.27
Finland;1970;32491;1.27
Finland;1965;32196;1.27
Finland;1960;32084;1.27
Puerto Rico;2015;274972;7.47
Puerto Rico;2010;304969;8.22
Puerto Rico;2005;352144;9.36
Puerto Rico;2000;355038;9.35
Puerto Rico;1995;338067;9.16
Puerto Rico;1990;321909;9.15
Puerto Rico;1985;295869;9.15
Puerto Rico;1980;271449;9.15
Puerto Rico;1975;227027;9.15
Puerto Rico;1970;188959;9.15
Puerto Rico;1965;111040;9.15
Puerto Rico;1960;64063;9.15
Latvia;2015;274972;7.47
Latvia;2010;304969;8.22
Latvia;2005;352144;9.36
Latvia;2000;355038;9.35
Latvia;1995;338067;9.16
Latvia;1990;321909;9.15
Latvia;1985;295869;9.15
Latvia;1980;271449;9.15
Latvia;1975;227027;9.15
Latvia;1970;188959;9.15
Latvia;1965;111040;9.15
Latvia;1960;64063;9.15
Luxembourg;2015;249325;43.96
Luxembourg;2010;163142;32.12
Luxembourg;2005;150618;32.90
Luxembourg;2000;139750;32.04
Luxembourg;1995;126106;30.90
Luxembourg;1990;113795;29.81
Luxembourg;1985;98186;29.81
Luxembourg;1980;84251;29.81
Luxembourg;1975;70058;29.81
Luxembourg;1970;58648;29.81
Luxembourg;1965;52150;29.81
Luxembourg;1960;46372;29.81
Slovenia;2015;235966;11.41
Slovenia;2010;253786;12.36
Slovenia;2005;197276;9.88
Slovenia;2000;171018;8.60
Slovenia;1995;174419;8.76
Slovenia;1990;178077;8.87
Estonia;2015;202348;15.42
Estonia;2010;217890;16.36
Estonia;2005;233701;17.24
Estonia;2000;249512;17.83
Estonia;1995;315755;22.03
Estonia;1990;381997;24.40
Cyprus;2015;196167;16.83
Cyprus;2010;187923;17.03
Cyprus;2005;117165;11.35
Cyprus;2000;80076;8.49
Cyprus;1995;61941;7.24
Cyprus;1990;43805;5.71
Cyprus;1985;41262;5.71
Cyprus;1980;38866;5.71
Cyprus;1975;36610;5.71
Cyprus;1970;34485;5.71
Cyprus;1965;32483;5.71
Cyprus;1960;29589;5.71
Panama;2015;184710;4.70
Panama;2010;157309;4.34
Panama;2005;117563;3.54
Panama;2000;83410;2.75
Panama;1995;70848;2.59
Panama;1990;62744;2.54
Panama;1985;54321;2.54
Panama;1980;47894;2.54
Panama;1975;52791;2.54
Panama;1970;58561;2.54
Panama;1965;63026;2.54
Panama;1960;68320;2.54
Slovakia;2015;177190;3.27
Slovakia;2010;146319;2.71
Slovakia;2005;130491;2.42
Slovakia;2000;116376;2.16
Slovakia;1995;69323;1.29
Slovakia;1990;41295;0.78
Lithuania;2015;136036;4.73
Lithuania;2010;160772;5.15
Lithuania;2005;201209;6.02
Lithuania;2000;214311;6.15
Lithuania;1995;273587;7.54
Lithuania;1990;349258;9.45
Brunei;2015;102733;24.28
Brunei;2010;100587;25.58
Brunei;2005;98441;27.20
Brunei;2000;96296;29.13
Brunei;1995;84748;28.73
Brunei;1990;73200;28.49
Brunei;1985;61374;28.49
Brunei;1980;50977;28.49
Brunei;1975;41032;28.49
Brunei;1970;32903;28.49
Brunei;1965;26038;28.49
Brunei;1960;20562;28.49
Uruguay;2015;71799;2.09
Uruguay;2010;76263;2.26
Uruguay;2005;82318;2.48
Uruguay;2000;88871;2.68
Uruguay;1995;93428;2.90
Uruguay;1990;98116;3.15
Uruguay;1985;103762;3.15
Uruguay;1980;116786;3.15
Uruguay;1975;131446;3.15
Uruguay;1970;159962;3.15
Uruguay;1965;195019;3.15
Uruguay;1960;192155;3.15
New Calidonia;2015;64290;24.43
New Calidonia;2010;61158;24.83
New Calidonia;2005;55405;24.23
New Calidonia;2000;49651;23.64
New Calidonia;1995;43662;23.08
New Calidonia;1990;37673;22.35
New Calidonia;1985;34648;22.35
New Calidonia;1980;33811;22.35
New Calidonia;1975;32108;22.35
